sample,token_idx,token,context,true,pred,category
15,289,na,u ##rina ##ry na ##g ex ##cre,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
15,297,so,", and increased so ##d activity ,",B-ChemicalEntity,B-GeneOrGeneProduct,wrong_type
15,411,tub,the extent of tub ##ular damage .,O,B-DiseaseOrPhenotypicFeature,false_positive
15,413,damage,of tub ##ular damage . it is,O,I-DiseaseOrPhenotypicFeature,false_positive
15,423,tub,##xi ##da ##tive tub ##ular damage plays,O,B-DiseaseOrPhenotypicFeature,false_positive
15,425,damage,##tive tub ##ular damage plays an important,O,I-DiseaseOrPhenotypicFeature,false_positive
16,13,auto,in patients with auto ##so ##mal dominant,O,B-DiseaseOrPhenotypicFeature,false_positive
16,16,dominant,auto ##so ##mal dominant cone and cone,O,I-DiseaseOrPhenotypicFeature,false_positive
16,43,600,mi ##m # 600 ##36 ##4 ),O,I-ChemicalEntity,false_positive
16,52,auto,identified to cause auto ##so ##mal dominant,O,B-DiseaseOrPhenotypicFeature,false_positive
16,134,auto,geographical origin with auto ##so ##mal dominant,O,B-DiseaseOrPhenotypicFeature,false_positive
16,137,dominant,auto ##so ##mal dominant ##ly inherited cone,O,I-DiseaseOrPhenotypicFeature,false_positive
16,139,inherited,##mal dominant ##ly inherited cone d ##ys,O,I-DiseaseOrPhenotypicFeature,false_positive
17,8,tin,##ctive effect of tin ##cture of c,B-ChemicalEntity,O,false_negative
17,10,of,of tin ##cture of c ##rata ##eg,I-ChemicalEntity,O,false_negative
17,11,c,tin ##cture of c ##rata ##eg ##us,I-ChemicalEntity,B-ChemicalEntity,boundary
17,33,tin,in rats . tin ##cture of c,B-ChemicalEntity,O,false_negative
17,35,of,. tin ##cture of c ##rata ##eg,I-ChemicalEntity,O,false_negative
17,47,alcoholic,") , an alcoholic extract of the",B-ChemicalEntity,O,false_negative
17,48,extract,", an alcoholic extract of the berries",I-ChemicalEntity,O,false_negative
17,49,of,an alcoholic extract of the berries of,I-ChemicalEntity,O,false_negative
17,50,the,alcoholic extract of the berries of ha,I-ChemicalEntity,O,false_negative
17,51,berries,extract of the berries of ha ##wth,I-ChemicalEntity,O,false_negative
17,52,of,of the berries of ha ##wth ##orn,I-ChemicalEntity,O,false_negative
17,53,ha,the berries of ha ##wth ##orn (,I-ChemicalEntity,B-OrganismTaxon,wrong_type
17,57,c,##wth ##orn ( c ##rata ##eg ##us,B-ChemicalEntity,B-OrganismTaxon,wrong_type
17,264,damage,in preventing the damage induced by is,O,B-DiseaseOrPhenotypicFeature,false_positive
18,104,bilateral,##tens ##ion with bilateral p ##ap ##ille,B-DiseaseOrPhenotypicFeature,O,false_negative
18,105,p,##ion with bilateral p ##ap ##ille ##de,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
18,146,norm,early onset and norm ##oc ##al ##ci,O,B-DiseaseOrPhenotypicFeature,false_positive
18,223,transition,##yt ##os ##ine transition at the 5,O,I-SequenceVariant,false_positive
18,384,electro,", suggesting that electro ##ly ##te abnormal",B-DiseaseOrPhenotypicFeature,O,false_negative
18,387,abnormal,electro ##ly ##te abnormal ##ities and secondary,I-DiseaseOrPhenotypicFeature,O,false_negative
18,390,secondary,abnormal ##ities and secondary al ##dos ##tero,B-DiseaseOrPhenotypicFeature,O,false_negative
18,391,al,##ities and secondary al ##dos ##tero ##nis,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
18,449,f,independent segregation of f ##ami ##lial cavern,B-DiseaseOrPhenotypicFeature,O,false_negative
20,30,se,background : altered se ##rot ##one ##rg,O,B-ChemicalEntity,false_positive
20,69,(,##oni ##n 6 ( 5 - h,I-GeneOrGeneProduct,O,false_negative
20,70,5,##n 6 ( 5 - h ##t,I-GeneOrGeneProduct,B-GeneOrGeneProduct,boundary
20,124,5,of a selective 5 - h ##t,B-ChemicalEntity,B-GeneOrGeneProduct,wrong_type
20,125,-,a selective 5 - h ##t ##6,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,126,h,selective 5 - h ##t ##6 receptor,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,129,receptor,h ##t ##6 receptor antagonist . in,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,130,antagonist,##t ##6 receptor antagonist . in addition,I-ChemicalEntity,O,false_negative
20,160,5,was restored by 5 - h ##t,B-ChemicalEntity,B-GeneOrGeneProduct,wrong_type
20,161,-,restored by 5 - h ##t ##6,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,162,h,by 5 - h ##t ##6 receptor,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,165,receptor,h ##t ##6 receptor antagonist in an,I-ChemicalEntity,I-GeneOrGeneProduct,wrong_type
20,166,antagonist,##t ##6 receptor antagonist in an animal,I-ChemicalEntity,O,false_negative
20,238,paranoid,to those of paranoid type s ##chi,B-DiseaseOrPhenotypicFeature,O,false_negative
20,239,type,those of paranoid type s ##chi ##zophrenia,I-DiseaseOrPhenotypicFeature,O,false_negative
20,240,s,of paranoid type s ##chi ##zophrenia .,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
20,379,dependence,##ham ##phe ##tamine dependence patients . results,O,I-DiseaseOrPhenotypicFeature,false_positive
21,123,ni,abolished by the ni ##cot ##iner ##gic,O,B-ChemicalEntity,false_positive
21,287,r,the presence of r ##s ##lu ##rp,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
21,313,r,##ish ##able by r ##s ##lu ##rp,B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
21,359,he,##tat ##3 ( he ##t - 1,B-CellLine,B-GeneOrGeneProduct,wrong_type
21,361,-,( he ##t - 1 ##a only,I-CellLine,I-GeneOrGeneProduct,wrong_type
21,362,1,he ##t - 1 ##a only ),I-CellLine,I-GeneOrGeneProduct,wrong_type
21,386,he,##l ##2 ( he ##t - 1,B-CellLine,B-GeneOrGeneProduct,wrong_type
21,388,-,( he ##t - 1 ##a ),I-CellLine,I-GeneOrGeneProduct,wrong_type
21,389,1,he ##t - 1 ##a ) and,I-CellLine,I-GeneOrGeneProduct,wrong_type
21,408,he,##n ##f ( he ##t - 1,B-CellLine,B-GeneOrGeneProduct,wrong_type
21,410,-,( he ##t - 1 ##a ),I-CellLine,I-GeneOrGeneProduct,wrong_type
21,411,1,"he ##t - 1 ##a ) ,",I-CellLine,I-GeneOrGeneProduct,wrong_type
21,422,be,##sp ##8 ( be ##p ##2 ##d,B-CellLine,B-GeneOrGeneProduct,wrong_type
21,439,r,"part , by r ##s ##lu ##rp",B-GeneOrGeneProduct,B-ChemicalEntity,wrong_type
21,460,inter,gene encoding the inter ##cellular ad ##hesion,O,B-GeneOrGeneProduct,false_positive
21,462,ad,the inter ##cellular ad ##hesion molecule beta,O,I-GeneOrGeneProduct,false_positive
21,464,molecule,##cellular ad ##hesion molecule beta - cat,O,I-GeneOrGeneProduct,false_positive
21,471,be,##eni ##n ( be ##p ##2 ##d,B-CellLine,B-GeneOrGeneProduct,wrong_type
22,433,ma,and / or ma ##li ##gna ##ncy,B-DiseaseOrPhenotypicFeature,O,false_negative
22,442,est,only a few est ##rogen - induced,B-ChemicalEntity,B-GeneOrGeneProduct,wrong_type
23,211,35,##us for a 35 ##2 - k,B-SequenceVariant,O,false_negative
23,213,-,a 35 ##2 - k ##b del,I-SequenceVariant,O,false_negative
23,214,k,35 ##2 - k ##b del ##eti,I-SequenceVariant,O,false_negative
23,216,del,- k ##b del ##eti ##on involving,I-SequenceVariant,O,false_negative
23,225,and,##3 ##a ##2 and 4 con ##ti,I-GeneOrGeneProduct,O,false_negative
23,226,4,##a ##2 and 4 con ##ti ##guous,I-GeneOrGeneProduct,O,false_negative
23,264,de,##ls with uncommon de ##ter ##ior ##ation,O,B-DiseaseOrPhenotypicFeature,false_positive
23,270,motor,##ation in oral motor function and loss,O,I-DiseaseOrPhenotypicFeature,false_positive
23,271,function,in oral motor function and loss of,O,I-DiseaseOrPhenotypicFeature,false_positive
23,273,loss,motor function and loss of am ##bula,O,B-DiseaseOrPhenotypicFeature,false_positive
23,274,of,function and loss of am ##bula ##tion,O,I-DiseaseOrPhenotypicFeature,false_positive
23,275,am,and loss of am ##bula ##tion .,O,I-DiseaseOrPhenotypicFeature,false_positive
23,298,1,##e for a 1 . 44 -,B-SequenceVariant,O,false_negative
23,299,.,for a 1 . 44 - m,I-SequenceVariant,O,false_negative
23,300,44,a 1 . 44 - m ##b,I-SequenceVariant,O,false_negative
23,301,-,1 . 44 - m ##b con,I-SequenceVariant,O,false_negative
23,302,m,. 44 - m ##b con ##ti,I-SequenceVariant,O,false_negative
23,304,con,- m ##b con ##ti ##guous gene,I-SequenceVariant,O,false_negative
23,307,gene,con ##ti ##guous gene del ##eti ##on,I-SequenceVariant,O,false_negative
23,308,del,##ti ##guous gene del ##eti ##on and,I-SequenceVariant,O,false_negative
24,8,inflammation,"a induce ##s inflammation , proliferation and",O,B-DiseaseOrPhenotypicFeature,false_positive
24,38,acute,evolutionary highly conserved acute phase protein that,O,B-GeneOrGeneProduct,false_positive
24,39,phase,highly conserved acute phase protein that is,O,I-GeneOrGeneProduct,false_positive
24,40,protein,conserved acute phase protein that is predominantly,O,I-GeneOrGeneProduct,false_positive
24,60,and,in liver injury and fi ##bro ##genesis,I-DiseaseOrPhenotypicFeature,O,false_negative
24,61,fi,liver injury and fi ##bro ##genesis has,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
24,100,fi,", the main fi ##bro ##genic cell",O,B-DiseaseOrPhenotypicFeature,false_positive
24,211,c,##ppa ##b revealed c ##yt ##oto ##xi,B-DiseaseOrPhenotypicFeature,O,false_negative
24,324,bi,##4 treatment and bi ##le duct l,O,B-DiseaseOrPhenotypicFeature,false_positive
24,326,duct,and bi ##le duct l ##iga ##tion,O,I-DiseaseOrPhenotypicFeature,false_positive
24,327,l,"bi ##le duct l ##iga ##tion ,",O,I-DiseaseOrPhenotypicFeature,false_positive
24,358,fi,m ##od ##ulate fi ##bro ##genic responses,O,B-DiseaseOrPhenotypicFeature,false_positive
24,374,inflammation,"by in ##ducing inflammation , proliferation and",O,B-DiseaseOrPhenotypicFeature,false_positive
25,146,h,individuals with spontaneous h ##c ##v clearance,B-OrganismTaxon,B-DiseaseOrPhenotypicFeature,wrong_type
25,194,o,##ele - specific o ##li ##gon ##uc,B-ChemicalEntity,O,false_negative
25,256,g,h ##c ##v g ##eno ##type 1,I-DiseaseOrPhenotypicFeature,O,false_negative
25,259,1,g ##eno ##type 1 - infected patients,I-DiseaseOrPhenotypicFeature,O,false_negative
25,260,-,##eno ##type 1 - infected patients with,I-DiseaseOrPhenotypicFeature,O,false_negative
25,261,infected,##type 1 - infected patients with high,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
26,87,s,with risk of s ##poradic me ##lan,B-DiseaseOrPhenotypicFeature,O,false_negative
26,89,me,of s ##poradic me ##lan ##oma in,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
26,179,f,##na from 184 f ##ami ##lial me,B-DiseaseOrPhenotypicFeature,O,false_negative
26,182,me,f ##ami ##lial me ##lan ##oma cases,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
27,93,(,- ha ##rada ( v ##kh ),I-DiseaseOrPhenotypicFeature,O,false_negative
27,94,v,ha ##rada ( v ##kh ) syndrome,I-DiseaseOrPhenotypicFeature,B-DiseaseOrPhenotypicFeature,boundary
27,205,cat,"status , complicated cat ##ara ##ct status",B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
27,397,cat,syndrome with complicated cat ##ara ##ct compared,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
28,38,para,"is characterized by para ##thy ##roid ,",O,B-DiseaseOrPhenotypicFeature,false_positive
28,41,",","para ##thy ##roid , enter ##op ##an",O,I-DiseaseOrPhenotypicFeature,false_positive
28,42,enter,"##thy ##roid , enter ##op ##an ##cre",B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
28,76,men,2 families with men ##1 with novel,B-GeneOrGeneProduct,B-DiseaseOrPhenotypicFeature,wrong_type
28,163,e,a complaint of e ##pi ##gas ##tric,O,B-DiseaseOrPhenotypicFeature,false_positive
28,167,pain,##pi ##gas ##tric pain and water ##y,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
28,169,water,##tric pain and water ##y di ##ar,O,B-DiseaseOrPhenotypicFeature,false_positive
28,171,di,and water ##y di ##ar ##r ##hea,B-DiseaseOrPhenotypicFeature,I-DiseaseOrPhenotypicFeature,boundary
28,279,(,##don 55 ##7 ( a ##ag -,I-SequenceVariant,O,false_negative
28,280,a,55 ##7 ( a ##ag - -,I-SequenceVariant,B-SequenceVariant,boundary
28,286,),- > gag ) of ex ##on,I-SequenceVariant,O,false_negative
28,327,mutation,##zy ##go ##us mutation at co ##don,B-SequenceVariant,O,false_negative
28,328,at,##go ##us mutation at co ##don 41,I-SequenceVariant,O,false_negative
28,329,co,##us mutation at co ##don 41 ##8,I-SequenceVariant,O,false_negative
28,333,of,##don 41 ##8 of ex ##on 9,I-SequenceVariant,O,false_negative
28,334,ex,41 ##8 of ex ##on 9 (,I-SequenceVariant,O,false_negative
28,336,9,of ex ##on 9 ( g ##ac,I-SequenceVariant,O,false_negative
28,337,(,ex ##on 9 ( g ##ac -,I-SequenceVariant,O,false_negative
28,338,g,##on 9 ( g ##ac - -,I-SequenceVariant,B-SequenceVariant,boundary
